grade,absences,studytime,internet,activities
11,4,2,0,0
11,2,2,1,0
12,6,2,1,0
14,0,3,1,1
13,0,2,0,0
13,6,2,1,1
13,0,2,1,0
13,2,2,0,0
17,0,2,1,0
13,0,2,1,1
14,2,2,1,0
13,0,3,1,1
12,0,1,1,1
13,0,2,1,0
15,0,3,1,0
17,6,1,1,0
14,10,3,1,1
14,2,2,0,1
7,2,1,1,1
12,6,1,1,1
14,0,2,1,0
12,0,1,1,0
14,0,2,1,1
10,2,2,1,1
10,2,3,1,1
12,6,1,1,0
12,8,1,1,0
11,0,1,1,0
13,2,2,1,1
12,4,2,1,1
11,0,2,1,0
15,2,2,1,1
15,0,2,1,1
12,0,2,1,1
12,4,1,1,0
11,4,1,0,1
14,0,3,1,1
13,4,3,1,1
12,2,3,1,1
12,8,1,0,1
10,16,2,1,1
11,8,1,1,0
15,0,2,1,1
10,0,1,1,0
11,14,2,1,1
11,4,2,1,1
13,6,2,1,0
17,2,4,1,1
13,4,2,0,0
12,2,2,1,1
13,0,2,1,0
16,0,2,1,0
9,4,1,0,0
12,0,1,1,0
13,0,1,1,0
12,2,2,1,1
15,0,2,1,1
16,8,2,0,1
14,0,2,1,1
16,2,2,1,0
16,0,2,0,1
16,0,1,1,1
10,0,2,1,1
13,0,3,1,1
12,0,2,1,1
16,2,2,1,1
12,0,4,1,1
10,0,4,1,0
11,0,2,1,0
15,6,4,1,0
11,2,4,1,0
10,0,4,1,0
11,2,2,1,0
14,0,1,0,1
11,4,2,1,1
11,0,2,1,1
11,0,4,1,1
13,1,4,1,0
10,0,1,1,1
11,14,2,1,0
12,0,1,1,1
9,2,3,1,0
11,4,2,1,0
13,2,2,1,1
12,2,2,1,1
12,4,2,1,0
11,6,2,0,0
15,4,3,1,1
11,6,2,1,1
10,6,2,0,0
11,2,3,1,0
13,6,1,1,1
12,0,2,0,0
14,2,2,1,1
12,2,4,1,1
13,4,4,1,1
11,6,1,1,1
12,0,2,0,0
13,4,1,1,1
13,2,3,1,0
8,12,1,1,1
16,0,3,1,1
12,2,1,1,1
10,16,2,1,0
16,0,2,1,1
10,10,4,0,0
10,4,4,1,0
14,4,3,1,1
11,8,4,1,1
14,2,3,1,1
14,4,1,1,1
11,4,3,1,1
10,12,2,1,1
18,10,1,1,0
10,4,2,1,1
14,6,2,1,1
16,4,2,0,1
15,6,1,1,1
11,14,2,1,1
14,2,1,1,0
14,0,2,1,0
13,6,4,1,1
13,2,2,1,1
13,4,1,1,1
11,0,2,1,0
9,2,1,1,0
11,0,2,1,1
11,0,2,0,0
15,8,1,1,1
13,4,3,1,0
12,0,3,1,0
8,10,2,1,1
11,8,1,1,0
13,6,1,1,1
12,2,1,1,0
14,12,1,1,0
11,4,1,0,0
11,12,1,0,0
11,2,2,0,0
15,4,3,1,1
10,2,2,0,0
13,0,2,0,0
12,2,1,1,1
11,10,3,1,1
11,8,1,0,1
10,4,1,1,1
10,0,2,0,0
14,6,1,1,1
9,2,1,1,1
11,6,4,1,0
9,24,2,0,0
13,0,3,1,1
11,4,1,1,1
13,2,3,1,1
11,4,1,1,0
6,22,1,1,0
12,0,2,1,0
10,0,1,1,1
11,2,2,1,0
13,6,2,1,0
11,6,2,0,0
8,16,1,1,0
11,0,1,1,0
0,0,1,1,0
10,6,1,0,1
13,2,3,1,1
11,6,1,1,0
13,0,1,0,0
8,0,2,0,1
10,14,1,0,0
11,6,1,0,1
11,4,1,0,0
1,0,2,1,0
10,0,1,1,0
9,8,1,1,1
8,4,2,1,0
10,2,1,0,1
8,2,1,1,0
8,0,2,0,1
8,10,1,0,1
11,0,2,1,0
18,0,2,1,0
13,0,2,1,0
17,0,2,1,0
10,4,1,1,1
18,0,2,1,1
10,0,2,1,1
13,0,2,1,1
15,0,2,1,1
11,0,2,1,1
14,0,2,1,1
10,4,2,1,1
11,8,1,1,1
13,4,2,1,1
11,4,2,1,1
13,0,2,1,1
17,0,2,0,1
14,32,2,1,1
16,8,2,1,0
14,6,2,1,1
11,0,1,1,1
16,0,2,1,1
14,10,2,1,0
10,6,2,0,0
13,6,2,1,0
12,0,2,1,1
12,16,2,1,1
10,0,1,1,1
12,0,1,1,0
16,8,2,1,1
14,4,1,1,0
12,16,1,1,1
16,30,1,1,0
11,0,2,1,0
15,2,2,1,1
12,4,2,0,1
15,0,2,0,0
13,21,1,1,0
13,6,4,1,1
8,14,3,1,0
12,2,2,1,0
15,4,2,1,1
13,2,1,0,0
12,0,3,1,1
12,4,4,1,1
12,15,2,1,0
13,0,2,1,0
11,10,2,1,1
11,6,1,0,0
15,2,2,1,0
10,16,2,1,0
10,10,2,1,0
13,4,1,0,0
13,0,3,1,1
11,0,2,1,1
12,12,3,0,1
14,0,2,1,0
10,9,2,1,0
16,4,3,1,1
8,4,2,1,1
17,2,2,1,1
11,0,2,1,0
11,2,2,1,1
16,0,3,1,1
12,0,2,1,1
13,0,2,1,1
13,0,2,1,1
14,0,2,1,1
9,2,2,1,0
12,0,3,1,1
16,0,2,1,1
10,4,1,1,0
13,0,2,1,1
10,18,2,1,0
10,16,2,1,0
7,14,1,1,0
8,26,1,1,1
9,6,1,1,1
15,4,2,0,1
10,10,3,1,1
11,4,1,1,0
13,2,2,0,1
8,14,1,1,0
8,16,2,1,0
10,8,1,1,0
15,4,3,1,1
14,4,2,0,1
15,8,2,1,1
12,0,2,1,0
15,7,1,1,1
15,4,1,1,1
12,2,2,1,0
15,2,3,1,0
11,10,3,1,0
10,10,2,0,0
11,10,3,1,0
16,7,1,1,0
11,4,2,0,0
13,2,1,1,0
5,12,1,1,0
10,8,2,1,0
11,0,1,1,0
7,8,1,1,0
10,4,2,1,0
6,4,1,1,0
12,2,1,0,1
13,0,1,1,0
10,0,1,1,1
13,2,2,1,0
17,2,4,1,1
11,0,2,1,0
11,4,2,1,1
14,2,3,1,1
14,4,3,0,0
13,4,2,0,0
14,4,2,1,0
16,2,2,1,1
10,0,1,0,0
12,2,4,1,1
12,8,2,1,1
15,2,2,1,0
11,2,2,1,0
12,2,3,0,1
13,2,3,0,1
13,0,3,1,1
9,8,1,1,0
16,6,2,1,1
14,0,2,1,1
12,8,2,1,1
14,4,2,1,1
10,12,2,1,0
12,16,2,1,1
16,10,4,1,1
13,2,2,0,0
18,2,2,0,1
15,8,2,1,0
16,6,2,1,0
12,6,2,1,0
10,15,2,1,0
12,6,1,1,1
13,2,2,1,1
15,8,3,1,0
10,0,2,1,0
10,0,1,1,1
11,10,1,1,0
10,22,1,1,1
13,18,1,1,0
18,2,4,0,1
13,0,2,1,1
14,12,2,1,0
14,10,2,1,1
12,0,2,1,0
18,0,3,1,0
14,0,3,1,0
15,0,3,1,1
17,0,2,1,1
16,2,2,1,1
18,0,3,1,0
19,0,4,0,0
15,0,3,1,1
15,0,1,1,0
13,2,2,1,1
14,0,2,1,0
17,0,4,1,0
17,0,1,1,0
15,0,2,1,0
13,0,1,1,0
8,0,3,1,1
16,0,3,1,0
18,0,4,1,1
11,0,3,1,1
15,0,1,0,1
11,0,2,0,1
11,2,2,0,0
15,2,2,1,1
14,2,2,1,1
17,2,1,1,1
17,2,3,1,1
15,8,1,1,0
17,2,3,1,1
14,8,2,1,0
10,9,2,1,1
13,0,2,1,0
14,4,1,1,1
17,2,1,1,1
17,14,2,1,0
13,0,2,1,0
14,2,2,1,1
11,2,1,1,0
11,12,3,0,1
9,2,2,1,0
10,2,1,1,1
13,4,2,0,0
10,0,3,1,1
17,0,3,1,0
15,0,3,1,0
14,0,3,1,1
13,0,3,1,1
17,0,1,1,1
10,2,1,1,0
13,0,3,1,1
15,4,3,1,0
11,2,1,1,1
12,0,4,1,1
10,0,1,0,0
10,2,2,0,1
15,0,3,1,0
15,6,1,1,0
12,8,2,1,1
12,0,2,1,1
14,6,4,0,1
14,8,3,1,0
15,0,2,1,0
15,4,4,1,0
16,0,2,1,0
13,0,2,1,1
17,6,2,1,1
14,18,2,1,0
14,0,3,1,0
17,4,3,1,0
17,4,3,1,0
14,0,3,1,0
13,0,3,1,1
15,10,2,1,1
16,4,2,1,1
11,16,1,1,0
13,6,1,1,0
12,0,3,1,1
12,11,2,1,1
15,9,2,1,1
17,0,2,1,1
15,2,3,1,0
17,0,2,1,1
10,21,2,1,1
15,8,3,1,0
11,5,1,1,0
18,10,2,1,0
17,5,3,1,0
14,13,1,1,0
11,10,1,1,0
17,10,2,1,0
10,5,1,1,0
13,4,2,1,1
11,11,1,1,0
12,0,2,1,1
10,6,1,0,0
11,4,1,1,0
17,0,2,0,0
9,0,1,0,0
11,5,2,0,0
11,0,3,1,0
10,0,2,0,0
7,0,1,1,0
14,0,1,1,0
11,4,4,0,1
10,0,2,1,0
8,4,1,1,0
12,0,1,0,1
12,2,1,1,0
16,0,1,1,0
0,0,2,0,1
9,4,2,1,0
14,0,2,1,1
8,7,2,1,1
11,4,2,0,0
9,8,2,0,1
11,0,2,1,1
9,8,1,0,1
17,6,3,1,1
13,3,1,0,0
15,2,2,1,0
11,0,2,0,0
11,4,2,1,0
8,0,3,0,0
8,3,3,0,0
9,0,2,1,0
15,0,2,0,0
11,4,1,1,1
13,0,4,1,0
10,2,3,0,0
11,1,2,1,1
14,0,1,1,1
14,0,2,0,0
12,2,3,0,0
11,6,1,0,1
8,9,2,1,1
11,0,1,0,0
14,1,2,1,1
13,1,1,0,0
13,0,2,0,1
12,4,2,1,0
12,2,2,0,1
16,0,1,0,1
10,4,1,1,1
11,2,1,1,1
14,0,3,0,1
8,2,1,1,0
11,11,1,1,1
8,0,2,0,0
10,4,1,0,1
10,0,1,1,0
11,2,1,0,1
9,0,1,0,0
11,1,2,1,0
8,6,1,0,0
11,0,2,1,0
10,1,1,1,1
10,6,3,0,0
9,6,3,0,1
10,0,1,1,1
10,4,1,1,0
9,12,2,1,0
10,2,2,0,0
10,5,1,0,1
9,0,2,1,1
13,0,1,1,1
14,2,1,1,1
10,0,4,0,1
14,0,2,1,1
16,0,1,0,1
7,12,1,1,1
13,8,1,1,1
9,2,4,0,0
14,0,4,1,1
13,0,3,1,0
11,0,1,1,1
10,8,2,1,1
10,0,3,0,0
9,0,1,1,0
18,0,2,0,0
17,0,2,0,1
10,1,2,1,0
7,9,2,1,0
8,0,1,1,1
7,2,1,1,0
10,8,2,0,0
16,0,2,1,1
15,0,1,1,1
8,8,2,1,0
0,0,2,1,1
8,6,2,1,0
10,0,2,1,1
8,4,2,1,0
6,2,4,1,1
8,2,2,0,0
16,0,3,1,0
14,1,1,1,0
10,0,3,0,0
9,5,1,1,0
11,1,1,0,0
9,8,1,1,1
10,0,2,1,0
8,2,2,1,0
16,0,2,1,0
12,0,1,1,0
10,11,2,0,1
14,8,4,0,1
12,11,1,1,1
11,2,3,0,0
10,8,2,1,1
11,5,1,0,0
11,0,2,0,0
12,1,3,1,0
8,2,1,1,1
12,2,1,0,1
8,8,2,1,1
16,0,2,1,0
11,0,1,1,0
11,2,2,1,1
18,0,2,1,0
13,0,2,1,0
13,0,2,1,0
10,2,2,1,1
12,4,1,0,0
10,3,1,1,1
13,5,3,1,0
11,4,1,0,0
10,2,2,1,1
10,0,1,0,1
13,0,1,0,0
10,0,1,1,1
10,6,2,0,1
12,0,2,0,1
0,0,1,0,1
10,2,1,1,0
9,0,1,1,1
9,2,1,1,0
0,0,1,1,0
9,4,1,0,1
8,9,2,1,1
8,6,1,1,1
9,4,1,1,1
7,8,2,0,1
10,9,1,0,1
10,12,1,1,0
10,8,1,1,0
11,8,1,1,0
11,8,2,1,0
10,4,2,1,0
9,0,1,1,0
10,4,1,1,0
8,2,2,0,0
7,0,1,0,0
0,0,1,1,0
11,0,1,1,0
8,5,3,0,0
0,0,2,1,1
8,3,2,1,1
9,0,1,0,0
10,0,1,1,0
7,3,2,0,1
14,2,2,1,1
13,0,1,1,0
14,0,2,1,0
18,0,2,1,1
17,3,1,1,1
18,0,2,1,0
0,0,2,0,1
11,8,1,0,0
14,5,1,1,1
14,4,1,0,0
10,4,2,1,0
13,0,3,1,0
0,0,2,1,1
10,2,2,0,0
0,0,1,0,0
18,0,4,1,0
12,5,2,1,1
11,2,2,0,0
12,0,2,0,0
0,0,2,0,1
15,5,3,1,0
11,4,2,1,1
10,0,2,0,0
12,2,2,1,1
15,0,2,0,0
14,2,1,1,0
18,0,3,1,0
15,0,2,0,0
13,6,2,1,0
15,4,2,1,1
13,0,2,0,0
9,0,2,0,0
16,0,3,1,0
9,0,1,1,0
10,0,1,1,0
0,0,2,1,0
10,3,1,1,1
12,8,3,0,1
9,4,1,1,1
17,0,3,1,0
12,4,3,1,0
9,4,2,1,0
14,1,2,1,1
16,1,2,1,0
9,10,2,1,1
19,4,2,1,1
0,0,1,1,1
16,4,2,1,1
0,0,1,0,0
0,0,1,0,0
15,0,3,0,0
11,0,2,1,0
10,4,1,1,1
10,4,3,1,1
16,4,2,1,0
9,6,2,0,1
10,6,1,1,0
11,4,1,1,0
